# Generated by generate-license-hashes.py from OE-core common-licenses
# Format: exact_md5,crunched_md5,spdx_id
c312e794b0018de67bc843148ecaeea7,4c4e0ac593073cc8aa41d70f37ebd0e4,CC-BY-ND-3.0-DE
ab85f6aeae6fce4e9ac8d74990974b86,1dc03315c1622881a2b3ce40966648cd,CC-BY-ND-4.0
681ffad43a0addd90f1bebf45675104e,16b286e5a094b795e6680c5c1fac5d28,CC-BY-SA-1.0
d91509a59f42bb5341a8af8295f28211,8bc7da3ae5a109b4851c200ab1a5c4e3,CC-BY-SA-2.0
80d8974849ea3017effd4ad4d2d68a40,39b28cecddfdc9107ba3330bc637c562,CC-BY-SA-2.0-UK
f6971d785145ff1e92dc69dc4167da07,94c5ebd3f3d0b2f5585a5aa8e4dae1e9,CC-BY-SA-2.1-JP
5e79ee07b35e45e708fcc631c0df4e1e,afe57e267fccb69dd6722aa5e5e4aeae,CC-BY-SA-2.5
3248afbd148270ac7337a6f3e2558be5,637026e5987a14499dff2bbae25fa414,CC-BY-SA-3.0
29bea97bd15f0be0384506ba9aa59a9b,89ef48bc7c12e6ca84398cb24790f110,CC-BY-SA-3.0-AT
a7741479921adbee9d03dce48364756d,1606c43fde6286480cd57af30ca8f38d,CC-BY-SA-3.0-DE
16bcb36a8505cc3a17e6205952625c5b,42a7a5d6ea5c7104cf045022debab4ab,CC-BY-SA-3.0-IGO
4084714af41157e38872e798eb3fe1b1,fa25aa6e5418013ab81c8a90ba7b5b56,CC-BY-SA-4.0
3b51ba0e7718dfed153b9a6bcd786cef,1cdcbf4ee1cfa642e6ed537b223fa803,CC-PDDC
4ac4452d08c713576b524e50a7af1717,7269c5b3323f239119f37f05ec02d05b,CC-PDM-1.0
10b41b3422e2e88d424ce2e6a6a8f63c,e2a59d5c2892d6b57a458a392ffad2f1,CC-SA-1.0
0ceb3372c9595f0a8067e55da801e4a1,ca1fcf16bf9c23f4d97edb371901b82f,CC0-1.0
d63dcc9297f2efd6c18d1e560b807bc6,de8c36093b8530c0fa0702057077e079,CDDL-1.0
c18a2eab9bf440520baecdebd5561fc5,1f8c353703b3fc38f84cb7e9e2235a62,CDDL-1.1
6945436e301008b0d5bf87b1cc19673e,3b2882ac814bbe62e99f5e19de0f88aa,CDL-1.0
db8def9d9625b54d39e485d2203a25bf,e7aa41a9e9cf070d22fff9b535ce9ad5,CDLA-Permissive-1.0
c9fd4fc0f8d1507270a46df37af8e8e4,f1aa0ac13d97532f0cb621f2a54890e4,CDLA-Permissive-2.0
f6d4e2e69d4b50159124bde6a16a11a9,67b61d27099cd9fccfd6be5a1c2c862c,CDLA-Sharing-1.0
2e1cd3c142f3ee0c48ac10ad0edfd6a2,24b79a6464e8925c65507c984f864834,CECILL-1.0
2a288b1ecac1b81b88207d41ed6f62bb,0a4ee7dc6b3e0f194552950e4d5da589,CECILL-1.1
574109ac4bdff61f9c3e0de892ecbd19,f562a18a3c2e0473caad9b16e051b916,CECILL-2.0
342660b06b8c7717c974c19366c80e7a,ba41d376f852db14fcec943357cf560e,CECILL-2.1
6a836b2e19f087226df57a014fb871e4,ff78c16a26b498213f2343bf60c67927,CECILL-B
de61e8e359a18f44efdb91f6d020e73b,5e3834fb49b1e7a6f4cb8a56f7ec3413,CECILL-C
f590cf750bd365fdd1b41da8c7d4cd82,d2d494bb86609effc1ecb21ba2274f52,CERN-OHL-1.1
8830efada678f2f7e6eb7039960418dc,0cfbf6cc54b7ae0a536604d24cdc2c21,CERN-OHL-1.2
b16f082a74b67070bf552dd5a0a6967d,978217b5ceb086957b2baeaa6691a831,CERN-OHL-P-2.0
e54c225891056b4b5b9aedf720324c48,f6ac98e130f2549a8d3ddee20fafffa2,CERN-OHL-S-2.0
9c52a15851488b9d3d4d1ff2ce9ebe63,6cfa1b8c13c1995e3e922149f6425377,CERN-OHL-W-2.0
3f2e28358fd5878d6c047f3df09593e6,90fbcebf1f3d0fa224d5ba338b5d0cf4,CFITSIO
cf408d61106c47b36709bc34a6a11b06,baf7144fc1339f0e362ba20660e19885,CMU-Mach
05889c72562f06247a60566567778858,a746bef491ccd5c5079dd75dd4a261ac,CMU-Mach-nodoc
